task,feature_set,model,n_train,n_val,n_test,validation_threshold,validation_net_bps,validation_n_trades,validation_objective,auroc,auprc,f1,balanced_accuracy,brier_score,net_bps_captured,hit_rate_above_cost,false_positive_cost,n_trades,final_pnl_usd,max_drawdown_usd,sharpe_ratio
basis_usdc_1m_gt10bps,price_only,no_trade,9886,11222,13257,0.5,,0,total_pnl_min25trades,0.5,0.1511654220411858,0.0,0.5,0.1511654220411858,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_only,price_threshold_10bps,9886,11222,13257,0.05,-88.91,1268,total_pnl_min25trades,0.828725580031619,0.5472761123562373,0.709435846230654,0.828725580031619,0.08780267028739534,-269.46485058951066,0.057942057942057944,-293.74312612671315,2002,-2697343.1544009987,2697343.1544009987,-158.9891002758604
basis_usdc_1m_gt10bps,price_only,price_threshold_25bps,9886,11222,13257,0.05,60.31,107,total_pnl_min25trades,0.7427439176565558,0.5429186478687605,0.6466908133026013,0.7427439176565558,0.0809383721807347,-346.6231934473439,0.051306873184898356,-369.8717736308423,1033,-1790308.7941555323,1790308.7941555323,-123.56096056272283
basis_usdc_1m_gt10bps,price_only,gross_arb_threshold,9886,11222,13257,0.05,37.86,118,total_pnl_min25trades,0.5304626683716013,0.16775502002854636,0.14990439770554492,0.5304626683716013,0.16768499660556688,-136.04315951678453,0.03927986906710311,-150.5154512751149,611,-415611.8523237767,415611.8523237767,-91.64442989408329
basis_usdc_1m_gt10bps,price_only,logistic,9886,11222,13257,0.5,-96.12,1,total_pnl_min25trades,0.13249423130101656,0.085709798103949,0.0,0.5,0.15116333371898133,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_only,lasso,9886,11222,13257,0.5,,0,total_pnl_min25trades,0.5,0.1511654220411858,0.0,0.5,0.1495733326014018,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_only,rf,9886,11222,13257,0.05,-126.08,862,total_pnl_min25trades,0.6086710432330044,0.21238863568338373,0.0,0.5,0.14400161057067573,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_only,xgb,9886,11222,13257,0.05,-133.02,290,total_pnl_min25trades,0.7091082431245215,0.3779460978605281,0.0,0.5,0.14646394550800323,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_only,lgbm,9886,11222,13257,0.5,-63.65,1,total_pnl_min25trades,0.6262073737533376,0.2012958940353462,0.0,0.499822269616991,0.15131170259595497,-329.0666559417885,0.0,-329.0666559417885,4,-6581.333118835771,6581.333118835771,-8.159653411029442
basis_usdc_1m_gt10bps,price_only,oracle,9886,11222,13257,0.5,,0,total_pnl_min25trades,0.5185859286492331,0.16224882747159614,0.09568965517241379,0.5185859286492331,0.15825601568982425,161.72755272090245,1.0,nan,316,255529.53329902564,0.0,85.62063576930568
basis_usdc_1m_gt10bps,price_plus_book,no_trade,9886,11222,13257,0.5,,0,total_pnl_min25trades,0.5,0.1511654220411858,0.0,0.5,0.1511654220411858,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_plus_book,price_threshold_10bps,9886,11222,13257,0.05,-88.91,1268,total_pnl_min25trades,0.828725580031619,0.5472761123562373,0.709435846230654,0.828725580031619,0.08780267028739534,-269.46485058951066,0.057942057942057944,-293.74312612671315,2002,-2697343.1544009987,2697343.1544009987,-158.9891002758604
basis_usdc_1m_gt10bps,price_plus_book,price_threshold_25bps,9886,11222,13257,0.05,60.31,107,total_pnl_min25trades,0.7427439176565558,0.5429186478687605,0.6466908133026013,0.7427439176565558,0.0809383721807347,-346.6231934473439,0.051306873184898356,-369.8717736308423,1033,-1790308.7941555323,1790308.7941555323,-123.56096056272283
basis_usdc_1m_gt10bps,price_plus_book,gross_arb_threshold,9886,11222,13257,0.05,37.86,118,total_pnl_min25trades,0.5304626683716013,0.16775502002854636,0.14990439770554492,0.5304626683716013,0.16768499660556688,-136.04315951678453,0.03927986906710311,-150.5154512751149,611,-415611.8523237767,415611.8523237767,-91.64442989408329
basis_usdc_1m_gt10bps,price_plus_book,logistic,9886,11222,13257,0.5,-88.3,3,total_pnl_min25trades,0.13313610936839554,0.08616201495490436,0.000997506234413965,0.500249500998004,0.1510885611467531,-49.087759899391905,0.0,-49.087759899391905,1,-245.43879949695952,245.43879949695952,-6.296822200521857
basis_usdc_1m_gt10bps,price_plus_book,lasso,9886,11222,13257,0.5,,0,total_pnl_min25trades,0.5,0.1511654220411858,0.0,0.5,0.1495733326014018,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_plus_book,rf,9886,11222,13257,0.05,-106.0,1278,total_pnl_min25trades,0.7627209590416608,0.3714559944999402,0.0,0.5,0.1389887778373378,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_plus_book,xgb,9886,11222,13257,0.1062,-116.7,27,total_pnl_min25trades,0.6843259184997994,0.2750078032622718,0.0,0.5,0.1496771275997162,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_plus_book,lgbm,9886,11222,13257,0.5,,0,total_pnl_min25trades,0.6529898525174835,0.2220051097128432,0.0,0.5,0.15116192878161827,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_plus_book,oracle,9886,11222,13257,0.5,,0,total_pnl_min25trades,0.5185859286492331,0.16224882747159614,0.09568965517241379,0.5185859286492331,0.15825601568982425,161.72755272090245,1.0,nan,316,255529.53329902564,0.0,85.62063576930568
basis_usdc_1m_gt10bps,price_book_frag,no_trade,9886,11222,13257,0.5,,0,total_pnl_min25trades,0.5,0.1511654220411858,0.0,0.5,0.1511654220411858,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_book_frag,price_threshold_10bps,9886,11222,13257,0.05,-88.91,1268,total_pnl_min25trades,0.828725580031619,0.5472761123562373,0.709435846230654,0.828725580031619,0.08780267028739534,-269.46485058951066,0.057942057942057944,-293.74312612671315,2002,-2697343.1544009987,2697343.1544009987,-158.9891002758604
basis_usdc_1m_gt10bps,price_book_frag,price_threshold_25bps,9886,11222,13257,0.05,60.31,107,total_pnl_min25trades,0.7427439176565558,0.5429186478687605,0.6466908133026013,0.7427439176565558,0.0809383721807347,-346.6231934473439,0.051306873184898356,-369.8717736308423,1033,-1790308.7941555323,1790308.7941555323,-123.56096056272283
basis_usdc_1m_gt10bps,price_book_frag,gross_arb_threshold,9886,11222,13257,0.05,37.86,118,total_pnl_min25trades,0.5304626683716013,0.16775502002854636,0.14990439770554492,0.5304626683716013,0.16768499660556688,-136.04315951678453,0.03927986906710311,-150.5154512751149,611,-415611.8523237767,415611.8523237767,-91.64442989408329
basis_usdc_1m_gt10bps,price_book_frag,logistic,9886,11222,13257,0.5,-88.3,3,total_pnl_min25trades,0.13313610936839554,0.08616201495490436,0.000997506234413965,0.500249500998004,0.1510885611467531,-49.087759899391905,0.0,-49.087759899391905,1,-245.43879949695952,245.43879949695952,-6.296822200521857
basis_usdc_1m_gt10bps,price_book_frag,lasso,9886,11222,13257,0.5,,0,total_pnl_min25trades,0.5,0.1511654220411858,0.0,0.5,0.1495733326014018,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_book_frag,rf,9886,11222,13257,0.05,-112.29,1090,total_pnl_min25trades,0.7645016108367997,0.41437130904444536,0.0,0.5,0.13979507254784404,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_book_frag,xgb,9886,11222,13257,0.05,-134.91,56,total_pnl_min25trades,0.6600984470231314,0.2298347997934798,0.0,0.5,0.15028727054595947,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_book_frag,lgbm,9886,11222,13257,0.5,,0,total_pnl_min25trades,0.6529898525174835,0.2220051097128432,0.0,0.5,0.15116192878161827,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_book_frag,oracle,9886,11222,13257,0.5,,0,total_pnl_min25trades,0.5185859286492331,0.16224882747159614,0.09568965517241379,0.5185859286492331,0.15825601568982425,161.72755272090245,1.0,nan,316,255529.53329902564,0.0,85.62063576930568
basis_usdc_1m_gt10bps,price_book_settle,no_trade,9886,11222,13257,0.5,,0,total_pnl_min25trades,0.5,0.1511654220411858,0.0,0.5,0.1511654220411858,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_book_settle,price_threshold_10bps,9886,11222,13257,0.05,-88.91,1268,total_pnl_min25trades,0.828725580031619,0.5472761123562373,0.709435846230654,0.828725580031619,0.08780267028739534,-269.46485058951066,0.057942057942057944,-293.74312612671315,2002,-2697343.1544009987,2697343.1544009987,-158.9891002758604
basis_usdc_1m_gt10bps,price_book_settle,price_threshold_25bps,9886,11222,13257,0.05,60.31,107,total_pnl_min25trades,0.7427439176565558,0.5429186478687605,0.6466908133026013,0.7427439176565558,0.0809383721807347,-346.6231934473439,0.051306873184898356,-369.8717736308423,1033,-1790308.7941555323,1790308.7941555323,-123.56096056272283
basis_usdc_1m_gt10bps,price_book_settle,gross_arb_threshold,9886,11222,13257,0.05,37.86,118,total_pnl_min25trades,0.5304626683716013,0.16775502002854636,0.14990439770554492,0.5304626683716013,0.16768499660556688,-136.04315951678453,0.03927986906710311,-150.5154512751149,611,-415611.8523237767,415611.8523237767,-91.64442989408329
basis_usdc_1m_gt10bps,price_book_settle,logistic,9886,11222,13257,0.5,-88.3,3,total_pnl_min25trades,0.13313610936839554,0.08616201495490436,0.000997506234413965,0.500249500998004,0.1510885611467531,-49.087759899391905,0.0,-49.087759899391905,1,-245.43879949695952,245.43879949695952,-6.296822200521857
