task,feature_set,model,n_train,n_val,n_test,validation_threshold,validation_net_bps,validation_n_trades,validation_objective,auroc,auprc,f1,balanced_accuracy,brier_score,net_bps_captured,hit_rate_above_cost,false_positive_cost,n_trades,final_pnl_usd,max_drawdown_usd,sharpe_ratio
basis_usdc_1m_gt10bps,price_only,no_trade,17987,11041,13135,0.5,,0,total_pnl_min25trades,0.5,0.150057099352874,0.0,0.5,0.150057099352874,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_only,price_threshold_10bps,17987,11041,13135,0.05,-88.91,1241,total_pnl_min25trades,0.8326506241250551,0.5549885277764454,0.7157360406091371,0.8326506241250551,0.0852683669585078,-270.00120233683515,0.05840528186896902,-294.5786549724695,1969,-2658161.837006139,2658161.837006139,-158.55549877049089
basis_usdc_1m_gt10bps,price_only,price_threshold_25bps,17987,11041,13135,0.05,60.31,107,total_pnl_min25trades,0.7459924321871725,0.5490420200956992,0.6528704939919893,0.7459924321871726,0.0791777693186144,-347.2544760294152,0.05170731707317073,-370.72882433875486,1025,-1779679.1896507535,1779679.1896507535,-123.76383486251987
basis_usdc_1m_gt10bps,price_only,gross_arb_threshold,17987,11041,13135,0.05,37.86,118,total_pnl_min25trades,0.5310151078128383,0.16699419584768055,0.15128006206361522,0.5310151078128383,0.1665778454510849,-136.35340964475418,0.039538714991762765,-150.93776859022793,607,-413832.59827182896,413832.59827182896,-91.72518536797571
basis_usdc_1m_gt10bps,price_only,last_value,17987,11041,13135,0.95,-121.36,7322,total_pnl_min25trades,0.7274013594831977,0.24848971832178413,0.2609559115583212,0.5,0.8499099618252154,-226.72570336635977,0.02398172820708032,-236.28187007019423,13135,-14890210.56858565,14885215.56858565,-481.5122280379025
basis_usdc_1m_gt10bps,price_only,rolling_mean,17987,11041,13135,0.5,,0,total_pnl_min25trades,0.5,0.150057099352874,0.0,0.5,0.150057099352874,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_only,ar1,17987,11041,13135,0.5,,0,total_pnl_min25trades,0.8391730249855438,0.38649257483926824,0.31548835308541073,0.6163458740050328,0.4197628681743359,-237.3135326701717,0.03068978955572876,-249.962565072811,10264,-12178930.49663318,12173935.49663318,-409.5716286421189
basis_usdc_1m_gt10bps,price_only,logistic,17987,11041,13135,0.5,,0,total_pnl_min25trades,0.1240739286475827,0.08393206339820519,0.0,0.5,0.15005658652074638,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_only,ridge,17987,11041,13135,0.5,,0,total_pnl_min25trades,0.49937298459333573,0.150057099352874,0.0,0.5,0.15005709954000002,nan,nan,nan,0,0.0,0.0,nan
basis_usdc_1m_gt10bps,price_only,lasso,17987,11041,13135,0.5,,0,total_pnl_min25trades,0.5,0.150057099352874,0.0,0.5,0.1491814733649154,nan,nan,nan,0,0.0,0.0,nan
