split,threshold_bps,n_minutes,price_pct_usdc,price_pct_usdt,exec_pct_q10000,exec_pct_q50000,exec_pct_q100000,exec_pct_q500000
train,0,28776,62.5,96.1,0.0,0.0,0.0,0.0
train,5,28776,3.84,18.49,0.0,0.0,0.0,0.0
train,10,28776,0.18,4.17,0.0,0.0,0.0,0.0
train,25,28776,0.0,0.22,0.0,0.0,0.0,0.0
validation,0,11526,95.78,95.77,2.58,2.69,2.69,1.42
validation,5,11526,47.27,43.98,2.45,2.58,2.57,1.28
validation,10,11526,10.88,7.66,2.3,2.44,2.45,1.22
validation,25,11526,1.01,0.36,1.99,2.07,2.08,1.02
test,0,15832,82.96,95.86,3.34,2.21,1.34,0.11
test,5,15832,25.32,54.0,3.03,1.87,1.14,0.06
test,10,15832,12.45,27.39,2.88,1.62,1.01,0.03
test,25,15832,6.48,3.39,2.62,1.33,0.76,0.02
