date,n_txs,median_gas_gwei,mean_gas_gwei,p95_gas_gwei,median_cost_bps_10k,p95_cost_bps_10k,delta_assumption_bps
2023-03-09,10,26.2,27.24,29.1,2.691,2.988,5.0
2023-03-10,9990,30.81,45.28,55.5,3.164,5.7,5.0
2023-03-11,10000,61.45,73.69,84.1,6.311,8.637,5.0
2023-03-12,10000,21.56,31.39,35.85,2.214,3.682,5.0
2023-03-13,10000,26.11,38.49,43.54,2.682,4.472,5.0
2023-03-14,10000,20.47,26.81,31.96,2.102,3.282,5.0
2023-03-15,10000,23.91,31.14,36.19,2.456,3.716,5.0
2023-03-16,10000,20.33,25.82,32.97,2.088,3.386,5.0
2023-03-17,10000,22.39,27.82,40.0,2.299,4.108,5.0
2023-03-18,10000,18.34,24.9,29.93,1.883,3.074,5.0
2023-03-19,10000,13.95,17.41,23.73,1.432,2.437,5.0
