model,feature_set,net_bps,n_trades,fp_loss_bps,signal_absence_bps
price_threshold_10bps,price_only,-269.46,2002,-293.74,0.0
price_threshold_25bps,price_only,-346.62,1033,-369.87,0.0
gross_arb_threshold,price_only,-136.04,611,-150.52,0.0
logistic,price_only,nan,0,nan,161.73
lasso,price_only,nan,0,nan,161.73
rf,price_only,nan,0,nan,161.73
xgb,price_only,nan,0,nan,161.73
lgbm,price_only,-329.07,4,-329.07,159.68
price_threshold_10bps,price_plus_book,-269.46,2002,-293.74,0.0
price_threshold_25bps,price_plus_book,-346.62,1033,-369.87,0.0
gross_arb_threshold,price_plus_book,-136.04,611,-150.52,0.0
logistic,price_plus_book,-49.09,1,-49.09,161.22
lasso,price_plus_book,nan,0,nan,161.73
rf,price_plus_book,nan,0,nan,161.73
xgb,price_plus_book,nan,0,nan,161.73
lgbm,price_plus_book,nan,0,nan,161.73
price_threshold_10bps,price_book_frag,-269.46,2002,-293.74,0.0
price_threshold_25bps,price_book_frag,-346.62,1033,-369.87,0.0
gross_arb_threshold,price_book_frag,-136.04,611,-150.52,0.0
logistic,price_book_frag,-49.09,1,-49.09,161.22
lasso,price_book_frag,nan,0,nan,161.73
rf,price_book_frag,nan,0,nan,161.73
xgb,price_book_frag,nan,0,nan,161.73
lgbm,price_book_frag,nan,0,nan,161.73
price_threshold_10bps,price_book_settle,-269.46,2002,-293.74,0.0
price_threshold_25bps,price_book_settle,-346.62,1033,-369.87,0.0
gross_arb_threshold,price_book_settle,-136.04,611,-150.52,0.0
logistic,price_book_settle,-49.09,1,-49.09,161.22
lasso,price_book_settle,nan,0,nan,161.73
rf,price_book_settle,nan,0,nan,161.73
xgb,price_book_settle,nan,0,nan,161.73
lgbm,price_book_settle,nan,0,nan,161.73
